variable,group,theta_mean,theta_sd,theta_n,rho_mean,rho_sd,rho_n,alpha_mean,alpha_sd,alpha_n
gender,Female,0.508,0.307,3015,0.436,0.306,1220,0.683,0.244,2654
gender,Male,0.379,0.354,2587,0.534,0.304,1171,0.67,0.244,2290
age_group,18-29,0.37,0.336,813,0.45,0.349,220,0.663,0.216,658
age_group,30-39,0.397,0.346,783,0.501,0.31,274,0.673,0.231,683
age_group,40-49,0.407,0.357,813,0.49,0.314,302,0.675,0.232,863
age_group,50-59,0.45,0.334,987,0.475,0.311,378,0.698,0.235,1047
age_group,60-69,0.509,0.318,1167,0.452,0.294,575,0.676,0.267,1050
age_group,70+,0.51,0.306,1039,0.52,0.3,642,0.668,0.275,643
incquart,Q1 (lowest),0.441,0.336,1199,0.459,0.329,396,0.657,0.245,1136
incquart,Q2,0.49,0.326,1546,0.51,0.307,676,0.674,0.259,1267
incquart,Q3,0.444,0.332,1351,0.477,0.306,619,0.68,0.244,1237
incquart,Q4 (highest),0.415,0.344,1506,0.48,0.3,700,0.695,0.227,1304
educlevel,Low,0.474,0.34,355,0.526,0.308,166,0.651,0.298,448
educlevel,Mid-low,0.464,0.335,1739,0.509,0.3,755,0.666,0.252,1883
educlevel,Mid-high,0.425,0.34,1348,0.525,0.313,533,0.674,0.239,1102
educlevel,High,0.446,0.332,2160,0.433,0.308,937,0.702,0.218,1511
